record_id,title,canonical_study_id,canonical_record_id,version_type,source_version,same_study_as,dedup_basis,analytical_layer,counting_status,retained_reason,notes
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,CS_CP011,CP011,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ceur-ws.org/Vol-4075/paper1.pdf,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP012,Collaborative LLM reasoning for vulnerability detection in smart contracts,CS_CP012,CP012,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-8973-8; doi=10.1109/ICCKE68588.2025.11273846,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP013,Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling,CS_CP013,CP013,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212; doi=10.1016/j.eswa.2025.130105,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,CS_CP014,CP014,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-6687-6; doi=10.1109/VCRIS68011.2025.11250519,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP015,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,CS_CP015,CP015,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-5397-5; doi=10.1109/FMLDS67896.2025.00022,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP016,Should we evaluate LLM based security analysis approaches on open source systems?,CS_CP016,CP016,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3503-5733-2; doi=10.1109/ASE63991.2025.00265,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP017,Explaining software vulnerabilities with large language models,CS_CP017,CP017,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-8503-7; doi=10.1109/ASEW67777.2025.00045,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP018,"An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems",CS_CP018,CP018,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-9948-5; doi=10.1109/CASCON66301.2025.00045,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP019,LEGEM: a scalable and adversarial-resilient framework for cross-platform IoT binary vulnerability detection,CS_CP019,CP019,conference_version,journalArticle; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11235936; doi=10.1109/JIOT.2025.3630683,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP020,Towards more accurate static analysis for taint-style bug detection in linux kernel,CS_CP020,CP020,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://www.cs.ucr.edu/~zhiyunq/pub/ase25_buglens.pdf; doi=10.1109/ASE63991.2025.00039,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP021,VerilogLAVD: LLM-aided rule generation for vulnerability detection in verilog,CS_CP021,CP021,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2508.13092; doi=10.48550/ARXIV.2508.13092; arxiv=2508.13092,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP022,Real-world code vulnerability detection framework: from data preprocessing to multi-feature fusion detection,CS_CP022,CP022,conference_version,journalArticle; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11134102; doi=10.1109/TDSC.2025.3601228,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,CS_CP023,CP023,project_report,thesis; Zotero/FuLei518/project merged candidate; https://stars.library.ucf.edu/etd2024/340/,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP024,HyFuzz: a hybrid AI-enhanced vulnerability detection framework,CS_CP024,CP024,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-9788-7; doi=10.1109/RTSI64020.2025.11212261,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP025,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,CS_CP025,CP025,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2511.12164; doi=10.48550/arXiv.2511.12164; arxiv=2511.12164,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP026,Advancing binary code similarity detection via context-content fusion and LLM verification,CS_CP026,CP026,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://gentlecp.github.io/pdfs/Co2FuLL_ASE_2025.pdf; doi=10.1109/ASE63991.2025.00033,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP027,Exploring static taint analysis in LLMs:a dynamic benchmarking framework for measurement and enhancement,CS_CP027,CP027,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://yuanxzhang.github.io/paper/LLMTaint-ase25.pdf; doi=10.1109/ASE63991.2025.00082,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP028,LOSVER: line-level modifiability signal-guided vulnerability detection and classification,CS_CP028,CP028,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11334430; doi=10.1109/ASE63991.2025.00092,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP029,LLM-assisted security vulnerability analysis for educational websites: risk identification via LLM-EduAttackGraph,CS_CP029,CP029,conference_version,journalArticle; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11258892; doi=10.1109/JIOT.2025.3631562,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP030,A novel approach for software vulnerability detection based on ensemble learning model,CS_CP030,CP030,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.sciencedirect.com/science/article/abs/pii/S0045790625007918; doi=10.1016/j.compeleceng.2025.110848,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP031,"Source code vulnerability detection with LLMs: a systematic evaluation of fine-tuning, and multimodal fusion of code text and software metrics",CS_CP031,CP031,preprint,preprint; Zotero/FuLei518/project merged candidate; https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5782211; doi=10.2139/ssrn.5782211,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP032,LLMs as firmware experts: a runtime-grown tree-of-agents framework,CS_CP032,CP032,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2511.18438; doi=10.48550/ARXIV.2511.18438; arxiv=2511.18438,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP033,Large language model based smart contract auditing with LLMBugScanner,CS_CP033,CP033,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2512.02069; doi=10.48550/ARXIV.2512.02069; arxiv=2512.02069,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP034,Large language models cannot reliably detect vulnerabilities in JavaScript: the first systematic benchmark and evaluation,CS_CP034,CP034,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2512.01255; doi=10.48550/ARXIV.2512.01255; arxiv=2512.01255,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP035,Enhancing static vulnerability alert validation using large language models,CS_CP035,CP035,preprint,preprint; Zotero/FuLei518/project merged candidate; https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5845441; doi=10.2139/ssrn.5845441,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP036,BF-WeakWeb-2025: a novel dataset and LLM benchmark for web vulnerability detection in Burkina Faso,CS_CP036,CP036,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11288830; doi=10.1109/CommNet68224.2025.11288830,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP037,Research on AIGC-based vulnerability detection and repair systems,CS_CP037,CP037,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-5652-5; doi=10.1109/ITCEM68692.2025.00031,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP038,Software vulnerability detection based on LLM,CS_CP038,CP038,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-1355-9; doi=10.1109/IMCEC66174.2025.11331753,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP039,Performance of open-source large language models in smart contract vulnerability detection,CS_CP039,CP039,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-3806-4; doi=10.1109/ICBCTIS66509.2025.11387384,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP040,DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection,CS_CP040,CP040,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://link.springer.com/article/10.1007/s10664-025-10770-7; doi=10.1007/s10664-025-10770-7,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP041,Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method,CS_CP041,CP041,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.sciencedirect.com/science/article/abs/pii/S0952197625034414; doi=10.1016/j.engappai.2025.113410,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP042,"Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods",CS_CP042,CP042,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:978-1-6654-5756-9; doi=10.1109/ICECER65523.2025.11401125,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP043,Beyond prompting: the role of phrasing tasks in vulnerability prediction for java,CS_CP043,CP043,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://link.springer.com/article/10.1186/s42400-025-00476-0; doi=10.1186/s42400-025-00476-0,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP044,A vulnerability detection scheme for smart contracts based on large language models and deep learning techniques,CS_CP044,CP044,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com; doi=10.6688/JISE.202601_42(1).0008,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP045,Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability,CS_CP045,CP045,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-9447-3; doi=10.1109/BigData66926.2025.11402114,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP046,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,CS_CP046,CP046,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-4536-9; doi=10.1109/ACSACW69556.2025.00074,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP047,A benchmark dataset for code-level vulnerability detection and analysis,CS_CP047,CP047,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11402559; doi=10.1109/BigData66926.2025.11402559,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP048,A survey on the role of LLMs in AI-based software development: augmentation and latent risks,CS_CP048,CP048,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11401846; doi=10.1109/BigData66926.2025.11401846,NA,canonical source record; no duplicate detected,excluded_near_neighbor,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP049,LLM-based vulnerability detection in decompiled binary code for automated reverse engineering,CS_CP049,CP049,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://link.springer.com/chapter/10.1007/978-3-032-22062-2_6; doi=10.1007/978-3-032-22062-2_6,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP050,Unified artificial intelligence and formal reasoning approach to software security,CS_CP050,CP050,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-5664-8; doi=10.1109/ICMNWC66779.2025.11354207,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP051,Generalizable secure code generation framework for robust software development practices,CS_CP051,CP051,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11354349; doi=10.1109/ICMNWC66779.2025.11354349,NA,canonical source record; no duplicate detected,excluded_near_neighbor,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP052,From lab to reality: a practical evaluation of deep learning models and LLMs for vulnerability detection,CS_CP052,CP052,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2512.10485; doi=10.48550/ARXIV.2512.10485; arxiv=2512.10485,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP053,Research status and analysis of LLM-based methods for code audit,CS_CP053,CP053,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-6825-2; doi=10.1109/ICICSE66971.2025.11429962,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP054,LLM-guided initial seed selection for black-box IoT fuzzing to enhance vulnerability detection,CS_CP054,CP054,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-9143-4; doi=10.1109/ComComAp68359.2025.11353192,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP055,Poster: boosting inter-procedural vulnerability detection via retrieval-augmented generation,CS_CP055,CP055,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-4901-5; doi=10.1109/ICPADS67057.2025.11323228,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP056,The impact of prompt language and representation on LLM reasoning: a multilingual empirical study,CS_CP056,CP056,conference_version,journalArticle; Zotero/FuLei518/project merged candidate; https://ieeexplore.ieee.org/abstract/document/11318327; doi=10.1109/ACCESS.2025.3649535,NA,canonical source record; no duplicate detected,excluded_near_neighbor,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP057,A comprehensive assessment of OpenAI’s large language models for detecting vulnerabilities in source code,CS_CP057,CP057,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://www.sciencedirect.com/science/article/pii/S1877050926001080; doi=10.1016/j.procs.2026.01.107,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP058,Adaptive hierarchical evaluation of LLMs and SAST tools for CWE prediction in python,CS_CP058,CP058,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2601.01320; doi=10.48550/ARXIV.2601.01320; arxiv=2601.01320,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP059,Source code vulnerability detection based on deep learning: a review,CS_CP059,CP059,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://link.springer.com/article/10.1186/s42400-025-00518-7; doi=10.1186/s42400-025-00518-7,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP060,Automating fuzz driver generation for deep learning libraries with large language models,CS_CP060,CP060,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://link.springer.com/article/10.1186/s42400-025-00532-9; doi=10.1186/s42400-025-00532-9,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP061,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,CS_CP061,CP061,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2509.07225; doi=10.48550/ARXIV.2509.07225; arxiv=2509.07225,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP062,LLM-powered silent bug fuzzing in deep learning libraries via versatile and controlled bug transfer,CS_CP062,CP062,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; https://doi.org/10.1145/3798258; doi=10.1145/3798258,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP063,Hybrid fuzzing with LLM-guided input mutation and semantic feedback,CS_CP063,CP063,conference_version,conferencePaper; Zotero/FuLei518/project merged candidate; urn:isbn:979-8-3315-9628-6; doi=10.1109/CARS67163.2025.11337923,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP064,ChatHTTPFuzz: large language model-assisted IoT HTTP fuzzing,CS_CP064,CP064,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://doi.org/10.1007/s13042-024-02527-3; doi=10.1007/s13042-024-02527-3,NA,canonical source record; no duplicate detected,background_reference,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP065,Intelligent test case generation method for fuzzing IoT protocols based on LLM,CS_CP065,CP065,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://doi.org/10.1007/s10515-025-00557-x; doi=10.1007/s10515-025-00557-x,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP066,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,CS_CP066,CP066,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2507.19275; doi=10.48550/ARXIV.2507.19275; arxiv=2507.19275,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP067,FuzzCoder: code large language model-based fuzz testing for industrial IoT programs,CS_CP067,CP067,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://doi.org/10.1109/JIOT.2025.3577602; doi=10.1109/JIOT.2025.3577602,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP068,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,CS_CP068,CP068,journal_version,journalArticle; Zotero/FuLei518/project merged candidate; https://doi.org/10.1109/TIFS.2026.3666859; doi=10.1109/TIFS.2026.3666859,NA,canonical source record; no duplicate detected,study_level_coded,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
CP069,SDLLMFuzz: dynamic-static LLM-assisted greybox fuzzing for structured input programs,CS_CP069,CP069,preprint,preprint; Zotero/FuLei518/project merged candidate; https://arxiv.org/abs/2604.17750; doi=10.48550/ARXIV.2604.17750; arxiv=2604.17750,NA,canonical source record; no duplicate detected,extended_synthesis,canonical_counted,canonical record retained for its assigned analytical layer,Generated by canonical study/version deduplication pass; source records remain traceable even when not counted.
